web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,etat,adresse,prix,image_lien-src
"1717211704-31","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","CONGELATEUR CH700GM HORIZONTALE ASTECH
Neuf
Plateau,
Dakar

samedi, 10:51

365 000 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-ch700gm-horizontale-astech-6078035","CONGELATEUR CH700GM HORIZONTALE ASTECH","Neuf","Plateau

Dakar","365 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/30531bdfe300091376c1ad4545ca6066/-/horizon-files-prod/ed/picture/qgq9vev4/6bf1406791027441a7064566842cb36c1f5b9c30.jpg"
"1717211774-32","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","Congélateur horizontal Astech Ch400GM 400L
Neuf
Plateau,
Dakar

samedi, 10:58

215 000 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-horizontal-astech-ch400gm-400l-6078040","Congélateur horizontal Astech Ch400GM 400L","Neuf","Plateau

Dakar","215 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/260df041606f39907af4c646f996f0a7/-/horizon-files-prod/ed/picture/qdek5p5j/d04c577cdf46080a48375da04de1865adfb5ea5c.jpg"
"1717211778-33","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","VIP

CONGÉLATEUR FINIX BD 200 LITRES
Neuf
Médina,
Dakar

dimanche, 16:25

135 000 F Cfa

160 000 F Cfa

Économisez 15.6%

775267261","https://www.expat-dakar.com/annonce/congelateur-finix-bd-200-litres-6078572","CONGÉLATEUR FINIX BD 200 LITRES","Neuf","Médina

Dakar","160 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/96b3bb31118a549b783123cc2cfbcf2a/-/horizon-files-prod/ed/picture/qwe2dvm6/732cb5826d4fe6e99db3571efa4ba2566ebf96cd.jpg"
"1717211785-34","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","CONGELATEUR HORIZONTAL ASTECH CH400W 400L
Neuf
Plateau,
Dakar

samedi, 11:02

205 000 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-horizontal-astech-ch400w-400l-6078042","CONGELATEUR HORIZONTAL ASTECH CH400W 400L","Neuf","Plateau

Dakar","205 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a13d10ad3a08fbadb78ae8d7e59389cf/-/horizon-files-prod/ed/picture/qenq6e6z/e6d7841f224d8f7e0c0d077abe475b2701270bd7.jpg"
"1717211789-35","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","Congélateur horizontal Astech CH300IG 300L
Neuf
Plateau,
Dakar

samedi, 11:07

160 000 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-horizontal-astech-ch300ig-300l-6078046","Congélateur horizontal Astech CH300IG 300L","Neuf","Plateau

Dakar","160 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf560aa8f6abee51e8d4468127227aca/-/horizon-files-prod/ed/picture/qv4e2628/b8196efd6f2500a1133a05dd03d0d580fed8a2d1.jpg"
"1717211793-36","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","Congélateur horizontal Astech CH280W 280L
Neuf
Plateau,
Dakar

samedi, 11:10

138 500 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-horizontal-astech-ch280w-280l-6078052","Congélateur horizontal Astech CH280W 280L","Neuf","Plateau

Dakar","138 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6992fba28715311379382a34da2ab570/-/horizon-files-prod/ed/picture/q8v5jwqz/2d2d5472491a1ad351f7b03e7f418fe1169a6837.jpg"
"1717211797-37","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","Congélateur horizontale ASTECH CH195W 195L
Neuf
Plateau,
Dakar

samedi, 11:14

118 000 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-horizontale-astech-ch195w-195l-6078057","Congélateur horizontale ASTECH CH195W 195L","Neuf","Plateau

Dakar","118 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f2453aabadbd2e679202a40a0fef57e/-/horizon-files-prod/ed/picture/qgq9ve24/6be000fe27248a77a984fe3fb005ddfd85529304.jpg"
"1717211801-38","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","Congélateur Astech 280L A+
Neuf
Ouakam,
Dakar

samedi, 11:15

Vendeur vérifié

149 900 F Cfa

160 000 F Cfa

Économisez 6.3%

770521414

709557473","https://www.expat-dakar.com/annonce/congelateur-astech-280l-a-6078055","Congélateur Astech 280L A+","Neuf","Ouakam

Dakar","160 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e1db5a6ea141c773b42fcc1a77ef0060/-/horizon-files-prod/ed/picture/qxj25v48/06bb0e3a8d9667a9a620ac5fc9d2fca1a251058f.jpg"
"1717211805-39","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","Congélateur horizontal CH-160 Astech
Neuf
Plateau,
Dakar

samedi, 11:16

92 500 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-horizontal-ch-160-astech-6078062","Congélateur horizontal CH-160 Astech","Neuf","Plateau

Dakar","92 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d20083e53ffc5461dd05a0c10006143f/-/horizon-files-prod/ed/picture/qdek5pxj/e66e3379834aacbae845c91a449ba8bf5c3ed560.jpg"
"1717211808-40","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","Congélateur horizontal ROCH rcf400
Neuf
Plateau,
Dakar

samedi, 14:41

215 000 F Cfa

778452442

778452442","https://www.expat-dakar.com/annonce/congelateur-horizontal-roch-rcf400-6078175","Congélateur horizontal ROCH rcf400","Neuf","Plateau

Dakar","215 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d2820b77e02a623aad39abe26e2e604/-/horizon-files-prod/ed/picture/q448xkn9/672cf185ed6f2791656f28da75999a88db7edf42.jpg"
"1717211811-41","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","Congélateur horizontal ROCH RCF700
Neuf
Plateau,
Dakar

samedi, 14:48

359 900 F Cfa

778452442

778452442","https://www.expat-dakar.com/annonce/congelateur-horizontal-roch-rcf700-6078184","Congélateur horizontal ROCH RCF700","Neuf","Plateau

Dakar","359 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9655bed4b37a2dfdcd3acc906589aa5/-/horizon-files-prod/ed/picture/qdek589w/7c04eaee1f7118d94b1f954b305ded42f86fad54.jpg"
"1717211816-42","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","CONGELTEUR SMART TECHNOLOGY
Neuf
Plateau,
Dakar

dimanche, 17:32

160 000 F Cfa

775732812

756335874

767335517","https://www.expat-dakar.com/annonce/congelteur-smart-technology-6078586","CONGELTEUR SMART TECHNOLOGY","Neuf","Plateau

Dakar","160 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/66bf5a2f914cdc21c43c8e3e4ebc4891/-/horizon-files-prod/ed/picture/qenq60nx/a2418556c0800d246a842eea378d8f9e5dcf368b.jpg"
"1717211820-43","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=17","CONGÉLATEUR SMART TECHNOLOGY
Neuf
Plateau,
Dakar

dimanche, 17:32

99 000 F Cfa

775732812

756335874

767335517","https://www.expat-dakar.com/annonce/congelateur-smart-technology-6078575","CONGÉLATEUR SMART TECHNOLOGY","Neuf","Plateau

Dakar","99 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f409ef089d7566eef0be45d123f6cc5/-/horizon-files-prod/ed/picture/q448xzjz/996838aebd68ef28562b07a47cae5cc8df99a1a5.jpg"
"1717211827-44","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=16","CONGELATEUR HISENSE HORIZONTAL 660LITRES SILVER
Neuf
Plateau,
Dakar

dimanche, 20:19

415 000 F Cfa

773448645","https://www.expat-dakar.com/annonce/congelateur-hisense-horizontal-660litres-silver-6078676","CONGELATEUR HISENSE HORIZONTAL 660LITRES SILVER","Neuf","Plateau

Dakar","415 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dd0a3c2814dae680ef8a1d63238e5da3/-/horizon-files-prod/ed/picture/qrzvgpr5/d0cca3a99d70a75d5480c44e0dd7741751d87479.jpg"
"1717211832-45","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=16","RÉFRIGÉRATEUR 322LITRES ASTECH COMBINÉ 3TIROIRS
Neuf
Plateau,
Dakar

dimanche, 22:09

319 000 F Cfa

774714823","https://www.expat-dakar.com/annonce/refrigerateur-322litres-astech-combine-3tiroirs-6078710","RÉFRIGÉRATEUR 322LITRES ASTECH COMBINÉ 3TIROIRS","Neuf","Plateau

Dakar","319 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4edfa2abb7605d9c6d494becf6d10548/-/horizon-files-prod/ed/picture/qrzvgp62/976e7d50d0c0f631290803ae50d146f857634feb.jpg"
