details,etat,adresse,prix,image_lien
Split 9000btu Roch,Neuf,Plateau Dakar,139900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/efb2025b318f4d385bf80465e424baf9/-/horizon-files-prod/ed/picture/q2jqejqp/d0167201a7620fdca6aa9ccee1a0d261d301175d.jpg
SPLIT SAMSUNG DOUBLE INVERTER 1.5CV 12000BTU,Neuf,Plateau Dakar,298000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a7776d6f5dd94a9df0793ef8fed18ab/-/horizon-files-prod/ed/picture/qngxmg8g/98330c39af7b19bee7b0cb52388839821162e0d8.jpg
SPLIT SAMSUNG 2.5CV DOUBLE INVERTER 18000BTU,Neuf,Plateau Dakar,419000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8ff99beef387d4fc63f225b81053d0be/-/horizon-files-prod/ed/picture/qj4r849w/adbf66df53da4d613ffd3e2c3a1d3a8d464ffb90.jpg
Split Astech 1.25,Neuf,Point-e Dakar,142500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a1c410bddcca16977b5a1bf732c7e00/-/horizon-files-prod/ed/picture/qenq4nmx/4d45ee8cb8c09765e03453cf0a4d7febed9086b1.jpg
"VENTILATEUR MURAL DESKA 18"" AVEC TELECOMMANDE",Neuf,Ouakam Dakar,22900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2e22395aefb1a627821f1d7d8d30a5d/-/horizon-files-prod/ed/picture/qv4p5n8x/a200f13bf939b9aa0c30897c51a1f08f4e15c578.jpg
Ventilateur de coup portable et rechargeable,Neuf,Guediawaye Dakar,8000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7996c20b934a6091ab2656ffef53f634/-/horizon-files-prod/ed/picture/qngxmp0x/41826fe9ea51776c10169cd56786795c6b307d4b.jpg
SPLIT SAMSUNG AR 12000 BTU AR12TVH INVERTER,Neuf,Colobane Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3095370fcf098f6cf35d40ead543dd75/-/horizon-files-prod/ed/picture/q56xj8gn/8b5408af003e96fb22be92f22713b8680cf2e2f6.jpg
SPLIT GREE 12000BTU 1.5CV GAZ 410,Neuf,Plateau Dakar,220000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c9a593607374b7ba4086b3be687da7c/-/horizon-files-prod/ed/picture/qzv49dvx/54590fc3dd7beaca90adffdc22fcc2d071739cdc.jpg
SPLIT SMART TECHNOLOGY 12000BTU GAZ,Neuf,Fass Dakar,159900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d02bb1f35a632aeaac50ad973e586f15/-/horizon-files-prod/ed/picture/q2jqmgwp/c21f275debaa418d0351b377c4037e45581b9127.jpg
SPLIT SMART TECHNOLOGY 12000BTU INVERTER,Neuf,Fass Dakar,195000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b0dcffd57344f900e56fc984f989065/-/horizon-files-prod/ed/picture/q0gwek5j/4ccf4d6fe33153942b77cc4244c058522d4204df.jpg
SPLIT SMART TECHNOLOGY 18000BTU INVERTER GAZ,Neuf,Fass Dakar,260000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0b50b5764f039bb21649c0ae9d6e196/-/horizon-files-prod/ed/picture/q8v5emd0/b44d3060e46adfa67fceea70c8a1c0307466592e.jpg
Split Beko 9000btu r410 1.25cv,Neuf,Colobane Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ef7e7e061171658a58afc009ffa8b9f/-/horizon-files-prod/ed/picture/q78524gx/74473c486784bf7135835d8103419f4e37905a6e.png
TENGO Ventilateur Et Climatiseur à Eau TG15A,Neuf,Castor Dakar,55000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0996d58b7a3d9be64750d9dc5baab603/-/horizon-files-prod/ed/picture/q44dqg54/74678652d902e76c94533bbeb918713032a1e82a.jpg
Ventilateur plafonnier binatone,Neuf,Ouakam Dakar,21900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/85d67aca1f9204eefcb9265f1ba190b9/-/horizon-files-prod/ed/picture/qxj20k8v/6c8515b3093853a4de4868ccd84574d8886088eb.jpg
SPLIT FINIX 3CV 24000BTU R410 A+,Neuf,Plateau Dakar,298000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2598b1403015f2899a04df6dcc9d2a4/-/horizon-files-prod/ed/picture/qdekv2dw/2731ec2f21905e4378e97a7e0c8372806dbe02e6.jpg
SPLIT TCL 12000 BTU 2.5 CV,Neuf,Plateau Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c390b76c45ae2006e0012ac27ad2e6e/-/horizon-files-prod/ed/picture/qm5m2x4m/38a4cf10efd56f213d8bbcc4e223996dfe379e48.jpg
CLIMATISEUR ROCH PORTATIF 12000BTU RAC-P12R4- A,Neuf,Plateau Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/991299161873e5d2fa9a58a4e7e25046/-/horizon-files-prod/ed/picture/q9m8q84x/d11d486225e60e54e16186de3a47dbab0bcb4dc4.jpg
CLIMATISEUR BEKO PORTATIF 9000BTU BPN 109C,Neuf,Plateau Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0240a5cd9b686c1cc22bf1bff2b9a9c1/-/horizon-files-prod/ed/picture/q0g2j2mg/42f01498209ee44c3d64661b1be4319a50e76757.jpg
SPLIT ELACTRON 9000BTU A++,Neuf,Ouakam Dakar,144900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a43e7e57b8978bb031f165c9fd821443/-/horizon-files-prod/ed/picture/qkr5k472/aed5eef8caacd766009f4ef0231394485ceebd29.jpg
CLIMATISEUR SPLIT BEKO 18000BTU 2.5 CV R410,Neuf,Plateau Dakar,285000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/706e29a2611ef8d822a0c505a965a402/-/horizon-files-prod/ed/picture/q4qk48m/a77a29464f8f60bcc7e72ccada394079997317ca.jpg
SPLIT SMART TECHNOLOGIE 1.5cv 12.0000 btu,Neuf,Almadies Dakar,178000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/732e185faf8091aa70b1cf78d7ed5d3c/-/horizon-files-prod/ed/picture/qv4prjpj/a33388c96a571d37803205b39a51252b7562f574.jpg
CLIMATISEUR 1.5 CV A++ ELACTRON,Neuf,Plateau Dakar,165000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c72e9c7fc5ca3ff3c49765a8c47e48f/-/horizon-files-prod/ed/picture/qgq9nz0n/66e965c3bcd0225733e785738360086e044509b8.jpg
VENTILO A EAU BINATONE,Neuf,Plateau Dakar,75000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47263fdba3a7d0e79ed3ad8c0c5e39dc/-/horizon-files-prod/ed/picture/qpd6z2qp/e08367a414c1b9f6eb6e23c9444bd06bf5271c6f.jpg
CLIMATISEUR 1.5CV ASTECH,Neuf,Plateau Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b80a13dc2b207f0b398afc9d2fba867c/-/horizon-files-prod/ed/picture/qrzvp54x/522edac76a0d351c775dbce7406200f868522bc1.jpg
SPLIT ASTECH 12000BTU 1.5 CV 12RBR410,Neuf,Médina Dakar,180000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/817d925a5f34f905a7b2ee0ef459f53d/-/horizon-files-prod/ed/picture/qpd6vznw/c12deb3a7f58e5c1fd09b2d9bf6db6e6188e82b3.jpg
SPLIT ASTECH 3CV INVERTER +WIFI 24000BTU,Neuf,Plateau Dakar,369000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce180febbf7c25de4429eb09c1d6798c/-/horizon-files-prod/ed/picture/q9m9ewq0/d194d71725219d99f38f81168a08176a67872e33.jpg
SPLIT ASTECH PORTATIF 1.5CV 12000BTU FILTRE ANTI POSSIERE,Neuf,Plateau Dakar,179000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e71fe6d786308be3b27a2b871dea372b/-/horizon-files-prod/ed/picture/qkrg4242/274c9554d98ea12905b869955e839a3ce453bc35.jpg
SPLIT ASTECH 1.5CV INVERTER 12000BTU,Neuf,Plateau Dakar,205000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/84b03eed7520cb35960d66ab9efa0b0a/-/horizon-files-prod/ed/picture/q9m9ed06/03c0cbe76e18db5c6dfc2b91ab1a57948bb542d2.jpg
SPLIT ASTECH 1.25CV INVERTER 900BTU,Neuf,Plateau Dakar,184000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ae937e02787a7cd0d7ca4453c1dc6e52/-/horizon-files-prod/ed/picture/qwe2v8e0/796b587aba04dd09ddf75df65ad0bba2e6983abb.jpg
SPLIT TCL 24000 BTU 3 CV,Neuf,Colobane Dakar,310000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5e291185f3507215ce36197477bf4942/-/horizon-files-prod/ed/picture/qxj2reqw/9468615c681f43cfe0e7b9f2ea9a32a1b6de9d96.jpg
Climatiseur smart 12000 btu tropicalisé.,Neuf,Ouakam Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/48bc2119cbbaf1cb5b4397639dfe4d91/-/horizon-files-prod/ed/picture/q9m9ew70/c6d0131e3b3c0ae018ce178fb1cd2c8ea2a2843e.jpg
Ventilateur à Eau 20L,Neuf,Plateau Dakar,95000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac2d37df3e50a65f625887f641b87593/-/horizon-files-prod/ed/picture/q448zqx9/4c26b2a88a6b1e1dea65df42d18ae3319ab30154.jpg
Split Hisense 9000 BTU,Neuf,Point-e Dakar,155000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7df5d13b9c50d288745c218fc465ed3e/-/horizon-files-prod/ed/picture/qj4rk4dr/7ef7845d339d7eacc7c36fbe505fef5c541c2d42.jpg
SPLIT 9000 BTU DE MARQUE BEKO,D'occasion,Yoff Dakar,100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dc5804b04120cb25e3a436a1942ec6ed/-/horizon-files-prod/ed/picture/q56xeq6g/1dcedf430700121806603c51d132908d2b417a04.jpg
SPLIT ASTECH 24000BTU INVERTER + WIFI 24RB41-GB41,Neuf,Plateau Dakar,375000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a5bdf97d3147adfe9fde2f8da491c6d9/-/horizon-files-prod/ed/picture/q2jqe9r8/b3864c7ed55a0d5c19bee8ab4a6511013363d92f.jpg
"SPLIT BEKO 9000BTU 1,25 CV INVERTER",Neuf,Plateau Dakar,240000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/29484216fe65fed1b69f48ee68f03a50/-/horizon-files-prod/ed/picture/q2jqe9ke/7e1dda8dd3ba3cbe6b4ce82baf37273912391b38.jpg
Mini climatisatiseur,Neuf,Plateau Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/361956571188c1523ff72b7ef7f8e96b/-/horizon-files-prod/ed/picture/qm5pxqjq/e36a6014c4f3d9119fe5b2800329e8f98625b4e5.jpg
VENTILATEUR ROCH AVEC TÉLÉCOMMANDE,Neuf,Plateau Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d7115cded5889b183141735973b09ab7/-/horizon-files-prod/ed/picture/qjv2r9v/15f7b0b4f56717c64ca127bd6665f03ca7613db6.jpg
VENTILATEUR BINATONE SUR PIED VS-1656,Neuf,Médina Dakar,19000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ae482930b3c41eaa2055208add50b304/-/horizon-files-prod/ed/picture/qdek8vg0/6a5e3e29711cbe2d19725f37ffa0f6f7f1ac6530.jpg
SPLIT MIDEA INVERTER ARMOIRE CYLINDRE 24000BTU NEW MODELE,Neuf,Plateau Dakar,698000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad831da6519c4dc8ff3de7d06e13ba31/-/horizon-files-prod/ed/picture/q448z948/dbb2f54479aa1a57f7e2907028791e4a6e68eb95.jpg
SPLIT ROCH 12000BTU GAZ 410,Neuf,Plateau Dakar,178000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aabd5ec6c95e454b8d4c681d6456d61a/-/horizon-files-prod/ed/picture/q448gd9p/5f0a330c070b287ca7f5fa9a83eb24cfa503049e.jpg
SPLIT FINIX 12000BTU 1.5CV INVERTER FINIX-12DBC,Neuf,Plateau Dakar,240000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f90e9b835c439d2e8783dd2a2f99e0e/-/horizon-files-prod/ed/picture/qpdwe6dm/918977ce58533ca24f68344c706ddaeaa59941f7.jpg
Climatiseur haeir1.5 cav 12000btu,Neuf,Colobane Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a7ff8c1ae3ae524bf096ee3c5025f91/-/horizon-files-prod/ed/picture/q448zg0p/2ea4b2dda1a1f865aa0c345ddde6d877d5a78607.jpg
SPLIT ASTECH en promo,Neuf,Médina Dakar,159000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/951839eb5ca2cdff323ec855c903456f/-/horizon-files-prod/ed/picture/migrated/qgpmx7e/bf515506a69263a4f2b058e706bc525cfc40d25a.jpg
SPLIT WESTPOOL 12000BTU ACS/M-11C 410S,Neuf,Plateau Dakar,220000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a5b71be7e1cc87416f23a1705d5b81a4/-/horizon-files-prod/ed/picture/q0g26wxg/008f01867bcb42ad79260a83809bf83f70baf085.jpg
CLIMATISEUR 1.25CV A++ ELACTRON,Neuf,Plateau Dakar,145000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/064b917290495db2ce81ae935bff0c89/-/horizon-files-prod/ed/picture/q2jqe65j/4e27fc302cd801cb81589e6d22c71000887eda4f.jpg
Promo split climatiseur astech 1.5cv 12000btu,Neuf,Plateau Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/abe359fada2a7a79decaeeb6517cffd2/-/horizon-files-prod/ed/picture/qpd6zeqq/23292885f7443b46e29bbf7ad7253f7c08e009bd.jpg
CLIM ROCH 12000BTU 1.5 CV R410,Neuf,Plateau Dakar,195000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a96322d16182f7f8da8cd1ed1347ca95/-/horizon-files-prod/ed/picture/qzvdp689/ddccbb62dfc27707d966c49c6589d570ccaf9810.jpg
"SPLIT BEKO 1,5CV 12000BTU R410",Neuf,Plateau Dakar,189000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a8e371c9b3950ab996fd2dba799b4293/-/horizon-files-prod/ed/picture/qq47j07z/74d9b9a23bff7f5e019d091c8fca676f806b41d2.jpg
CLIM SPLIT BEKO 12000BTU 1.5 CV R410 INVENTER,Neuf,Plateau Dakar,265000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b0d5e4915ecde3771daf8182af441345/-/horizon-files-prod/ed/picture/qxvwdn2/1903a801d25c4118e178bfc4a787b262d44ed3a4.jpg
Ventilateur continental sur pied 18 pouces,Neuf,Plateau Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6df562830705695770fb6480aeb1921c/-/horizon-files-prod/ed/picture/q2jqem4e/d17c9bd2180e7abc39789da55d8e24a9a1e01ce5.jpg
Ventilateur BINATONE a Eau Humidificateur 20 Litres BAC-20L,Neuf,Plateau Dakar,70000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/efc2c0e082f88e985ec7f71ece90f808/-/horizon-files-prod/ed/picture/q6xkep06/d7bf76ff7d7cd133d6caae05c2a34398ba05df94.jpg
Climatiseur Roch Split Air Conditionner 12000 BTU 1.5 CV,Neuf,Médina Dakar,169900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/669bf929059710647a7848ab4b15e394/-/horizon-files-prod/ed/picture/q8v575qr/7633f568e3eebb50dc3a663bbb1dae9e0999fc31.jpg
Split Climatiseur,Neuf,Plateau Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c251cbc556898eea1434a9b65fa7dc0/-/horizon-files-prod/ed/picture/q9m8vedp/ad0575e032f13d3f01b3b96d042b236f54f983f4.png
Ventilateur Binatone,Neuf,Point-e Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea78f073c743bcbda31ff59136d85651/-/horizon-files-prod/ed/picture/q9m9e4j5/7f3b62cd15e6b96bad18595fd3ac6ff00d68222a.jpg
Ventilateur Roch,Neuf,Point-e Dakar,45000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e1556c12bed381e3754097a653574e7/-/horizon-files-prod/ed/picture/qrzvpd84/4fc37163010e58b5da347153dd28e4d4e43a7732.jpg
Ventilateur,Neuf,Point-e Dakar,65000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/961d48ca85f9b7d8fd79f18fc5684bab/-/horizon-files-prod/ed/picture/qxj204pn/ff08c4b42656f90badc54d8548299b15820f7fde.jpg
Split SHARP INVERTER 18000BTU,Neuf,Plateau Dakar,349900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c15784aec81560f66dd1bc49a97b8f80/-/horizon-files-prod/ed/picture/qj4rnm9d/79efb84e24e034f16dc80ece9ea78a381c1ef61e.jpg
Split SHARP 18000BTU R410,Neuf,Plateau Dakar,258000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9283dd9b384eae3730477834d92e86e5/-/horizon-files-prod/ed/picture/q9m9p0z8/9670f34e75c80de3ddd83233a7c32474e2e7b1c1.jpg
CLIMATISEUR LG 1.5 CV DUEL INVERTER,Neuf,Plateau Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a46dd2d28bd6dfe6077cb6ee2a7736ac/-/horizon-files-prod/ed/picture/qq47m47j/ca27ed3b366eb9e1314552bacb13bcc5fe8c73a3.jpg
PROMO SPLIT SAMSUNG AR 18000BTU 2.5CV MAX,Neuf,Colobane Dakar,320000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e825de128a5c9f4671c8221ae45edc5/-/horizon-files-prod/ed/picture/qkrgjv02/792925437eeb0fc8c2538024646af153e3431f9a.jpg
Ventilateur Sur Pied Roch,Neuf,Point-e Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4842c45178a7eceb099b14b4b890c193/-/horizon-files-prod/ed/picture/qpd6zkmv/6c8c197bdd1a96fe0a666894f569c7da87bb8271.jpg
CLIMATISEUR ASTECH 12000BTU 1.5 CV INVENTER,Neuf,Plateau Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4a856b7714e5625490333f116e9873c/-/horizon-files-prod/ed/picture/qrmgn5j/43f849497f789325f48c7abb7a59e61acdf1f2d2.jpg
split elactron 12000btu(1.5cv) a++,Neuf,Ouakam Dakar,159900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0494cefdf643a228e2166399d81ffb0/-/horizon-files-prod/ed/picture/qm5pzp5m/ae5ee9b601b1e650079ed2cb907279181a99514d.jpg
"SPLIT HAIER 1,5cv 12000 BTU GAZ 410",Neuf,Colobane Dakar,165000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b548d3f8f502ecb2a6d397cdfa2d880/-/horizon-files-prod/ed/picture/qgq9xjd8/f2004719ef7b7e3027e0d0f7c03fa0d492cad233.jpg
"Climatiseur Skaggu R410A Inverter 1,5 cv",D'occasion,Point-e Dakar,100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c65654bf9a3238a67ae107fb9cf73fe2/-/horizon-files-prod/ed/picture/q785k5w8/ca5c2f59f604a250ea365a66ca137f85084749a3.jpg
Climatiseur split,Venant,Plateau Dakar,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/382c88071b07d4d731815b3348d173b9/-/horizon-files-prod/ed/picture/qq47m28k/abf58cb10ad3e622c073a45a52c9c2678fa64d7b.jpg
Split Astech 1.25,Neuf,Plateau Dakar,139000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9f66d179ae4af11476edf30c121fc7b/-/horizon-files-prod/ed/picture/q9m97785/5d1c3604b9fc905275921df1ff7a11e27800ba35.jpg
CLIMATISATION INVERTER,Neuf,Derkle Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-543w/843b9dadec9b402c52288122d82a9b3f/-/horizon-files-prod/ed/picture/qrzvgnjm/969d88483138a8b623dc490bc5a617613fa83882.jpg
Split enduro 12000btu 1.5cv,Neuf,Colobane Dakar,155000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bcee5feefbf403cd2d52875c33547884/-/horizon-files-prod/ed/picture/qm5p2qj2/16e38b0188052b6a8ec2212e55544d9b767b204c.png
Climatiseur SMART,D'occasion,Sicap foire Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/76fdfc5bc91822b1eafbbd555ac9a0ad/-/horizon-files-prod/ed/picture/qenq6pv9/e5a01141ab25991cf29e4066ada2bd18a29b34db.jpg
CLIMATISEUR BEKO 18000BTU 2.25 CV R410,Neuf,Plateau Dakar,365000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/676bbf0c958388ecf52dfc9667ea7eca/-/horizon-files-prod/ed/picture/qxe9028/fa5fb1d2bdae2c40e13ed6ab3008c833c7a4d694.jpg
CLIMATISEURS Split enduro 12000BTU 1.5 CV R410,Neuf,Plateau Dakar,190000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/639d04dee0e94050fab014b88d8b2651/-/horizon-files-prod/ed/picture/q785jv5z/1d6f2badeee759003954876a0deabafacb48b4ee.jpg
SPLIT CLIMATISEU ROCH 12000BTU 1.5. CV R410,Neuf,Plateau Dakar,195000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4ff0cc7299812406e36c3c9fc577d3e/-/horizon-files-prod/ed/picture/qnvp64w/059b130bc6166b3e3c7852c7d0ce51a341c46313.jpg
